number,x,y
1321,-36,-10
1322,9,57
1323,-16,-50
1324,-6,-50
1325,-19,30
1326,-23,1
1327,10,55
1328,-15,-60
1329,-15,15
1330,4,-37
1331,47,-10
1332,1,40
1333,-17,-55
1334,4,-38
1335,-6,-51
1336,-23,6
1337,-18,-39
1338,-17,-39
1339,44,-13
1340,-10,29
1341,-37,-27
1342,-16,-56
1343,11,55
1344,-30,-30
1345,-23,7
1346,7,54
1347,35,12
1348,-38,-28
1349,-36,-7
1350,14,-27
1351,-36,-11
1352,28,33
1353,-16,-60
1354,-6,-52
1355,-19,-52
1356,9,58
1357,9,59
1358,-13,-46
1359,-24,3
1360,-37,-26
1361,5,46
1362,10,59
1363,8,59
1364,46,-12
1365,50,-3
1366,-27,25
1367,-5,-50
1368,12,55
1369,-9,29
1370,-30,-31
1371,12,50
1372,3,-38
1373,-17,-60
1374,-18,-60
1375,-24,7
1376,-25,-32
1377,16,20
1378,44,-14
1379,11,59
1380,44,-15
1381,-32,-11
1382,-13,-59
1383,8,56
1384,44,0
1385,11,60
1386,25,33
1387,-38,-9
1388,-18,-59
1389,29,33
1390,-38,-26
1391,-24,27
1392,-22,-7
1393,-17,32
1394,6,47
1395,-38,-8
1396,-18,-61
1397,2,-38
1398,-39,-28
1399,-25,3
1400,-17,-50
1401,10,60
1402,-40,-28
1403,9,-36
1404,46,-13
1405,47,-13
1406,-19,-61
1407,27,-13
1408,-20,-61
1409,30,33
1410,13,50
1411,9,60
1412,49,-2
1413,-28,25
1414,12,51
1415,-9,-52
1416,-38,-25
1417,10,61
1418,-5,-52
1419,-17,33
1420,-20,-52
1421,26,31
1422,-27,24
1423,21,36
1424,-4,-44
1425,8,58
1426,-17,34
1427,-12,-54
1428,-28,24
1429,5,-38
1430,38,-7
1431,-20,26
1432,18,37
1433,6,54
1434,-13,11
1435,47,-11
1436,-17,35
1437,30,32
1438,38,14
1439,44,-16
1440,-4,-46
1441,43,-14
1442,29,34
1443,9,-12
1444,39,14
1445,13,46
1446,38,15
1447,-4,-47
1448,9,61
1449,-40,-29
1450,-18,35
1451,8,61
1452,30,31
1453,51,-3
1454,9,-37
1455,40,14
1456,29,35
1457,6,53
1458,-41,-28
1459,7,61
1460,45,0
1461,52,-3
1462,-15,-61
1463,-27,26
1464,9,-38
1465,-35,-6
1466,7,52
1467,51,-4
1468,-18,34
1469,-5,25
1470,-39,-9
1471,8,62
1472,5,54
1473,-21,-61
1474,-26,3
1475,29,-10
1476,-32,-7
1477,12,59
1478,6,61
1479,-21,-62
1480,-12,-58
1481,48,-13
1482,43,-16
1483,40,15
1484,-20,-53
1485,-32,-28
1486,42,-14
1487,48,-12
1488,-26,2
1489,-26,28
1490,-18,-58
1491,13,59
1492,-3,-47
1493,-1,42
1494,45,-16
1495,-40,-30
1496,-28,26
1497,-21,-60
1498,-12,-59
1499,-42,-28
1500,-4,-50
1501,14,47
1502,7,56
1503,-5,-53
1504,14,59
1505,-17,-61
1506,-22,-62
1507,2,-39
1508,-29,24
1509,53,-3
1510,53,-4
1511,-3,-48
1512,48,-14
1513,-41,-30
