"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.529397698E2,-5.171829462E-2,5.611200333E-1,1.822149940E-2
2.529597831E2,-6.149213761E-2,5.427940488E-1,1.333457790E-2
2.529797969E2,-7.309857756E-2,5.189703107E-1,1.883236505E-2
2.529998102E2,-8.042896539E-2,4.933139980E-1,2.127582580E-2
2.530198238E2,-8.226155490E-2,4.719337225E-1,1.394544356E-2
2.530398370E2,-8.653761446E-2,4.560512006E-1,1.761063375E-2
2.530598504E2,-8.226155490E-2,4.352818131E-1,1.516717300E-2
2.530798637E2,-7.981809974E-2,4.047385454E-1,9.058520198E-3
2.530998771E2,-7.432030886E-2,3.680866361E-1,8.447655477E-3
2.531198905E2,-6.882252544E-2,3.210500181E-1,4.782463890E-3
2.531399039E2,-6.088127568E-2,2.789002955E-1,2.949868096E-3
2.531599174E2,-5.049656332E-2,2.379723340E-1,-3.158784239E-3
2.531799309E2,-3.827925771E-2,2.013204247E-1,-7.153232000E-4
2.531999443E2,-2.484022453E-2,1.732206047E-1,-3.769649426E-3
2.532199577E2,-1.445551496E-2,1.396230310E-1,-6.823975593E-3
2.532399718E2,-7.125132252E-3,9.564072639E-2,-5.602245219E-3
2.532599943E2,1.426981180E-3,4.982583597E-2,-1.048916765E-2
2.532800122E2,1.242255606E-2,-1.486846013E-3,-1.659782045E-2
2.533000250E2,2.341813035E-2,-5.646471679E-2,-1.659782045E-2
2.533200294E2,3.441370279E-2,-1.059448048E-1,-1.843041554E-2
2.533400383E2,4.724187404E-2,-1.432075799E-1,-1.781954989E-2
2.533600523E2,5.579398572E-2,-1.731399894E-1,-1.476522349E-2
2.533800658E2,5.762658268E-2,-1.994071752E-1,-1.781954989E-2
2.534000796E2,5.823744833E-2,-2.354482412E-1,-2.087387629E-2
2.534200922E2,5.823744833E-2,-2.788196802E-1,-2.026301250E-2
2.534401056E2,5.518312380E-2,-3.240236938E-1,-1.904128119E-2
2.534601186E2,5.396139249E-2,-3.649516702E-1,-1.537608914E-2
2.534801320E2,5.090706795E-2,-3.979383707E-1,-1.476522349E-2
2.535001454E2,4.357668385E-2,-4.162643552E-1,-1.659782045E-2
2.535201708E2,3.319197521E-2,-4.358120561E-1,-1.476522349E-2
2.535401926E2,2.769418806E-2,-4.602466524E-1,-1.232176274E-2
2.535602067E2,1.914207265E-2,-4.889573157E-1,-1.232176274E-2
2.535802077E2,1.181169041E-2,-5.164462328E-1,-1.048916765E-2
2.536002244E2,3.870442044E-3,-5.347722173E-1,-6.213110406E-3
2.536202419E2,-4.070805851E-3,-5.378265381E-1,-7.153232000E-4
2.536402559E2,-1.262291893E-2,-5.341613293E-1,-7.153232000E-4
2.536602612E2,-2.300762944E-2,-5.353830457E-1,3.560733516E-3
2.536802699E2,-2.850541472E-2,-5.390482545E-1,5.393329076E-3
2.537002833E2,-3.400320560E-2,-5.463786721E-1,2.949868096E-3
2.537202936E2,-3.705753013E-2,-5.555416346E-1,2.949868096E-3
2.537403071E2,-3.950099275E-2,-5.518764257E-1,7.225925103E-3
2.537603205E2,-3.889012709E-2,-5.347722173E-1,1.028025150E-2
2.537803367E2,-4.133358598E-2,-5.078941584E-1,1.272371225E-2
2.538003501E2,-4.011185467E-2,-4.840703905E-1,1.761063375E-2
2.538203697E2,-3.644666448E-2,-4.596357644E-1,1.577803865E-2
2.538403799E2,-3.339233622E-2,-4.480293393E-1,1.699976996E-2
2.538603991E2,-2.850541472E-2,-4.260381758E-1,1.516717300E-2
2.538804111E2,-2.056416683E-2,-4.077122211E-1,1.089111622E-2
2.539004312E2,-1.262291893E-2,-3.753363788E-1,1.028025150E-2
2.539204390E2,-5.292536225E-3,-3.417387903E-1,1.089111622E-2
2.539404477E2,2.037846483E-3,-2.971456349E-1,1.272371225E-2
2.539604545E2,1.120082475E-2,-2.543850541E-1,1.699976996E-2
2.539804690E2,2.097466774E-2,-2.128462195E-1,1.455630735E-2
2.540004824E2,2.463985980E-2,-1.761943102E-1,9.669385850E-3
2.540205082E2,3.258110955E-2,-1.493162364E-1,7.836789824E-3
2.540405205E2,3.441370279E-2,-1.120534614E-1,4.782463890E-3
2.540605377E2,4.113322124E-2,-7.356894761E-2,3.560733516E-3
2.540805386E2,4.296581820E-2,-3.080837801E-2,6.615059916E-3
2.541005521E2,5.029619858E-2,1.683911122E-2,6.615059916E-3
2.541205707E2,5.029619858E-2,6.448660046E-2,3.560733516E-3
2.541405842E2,5.090706795E-2,1.023602411E-1,1.728137722E-3
2.541605985E2,5.029619858E-2,1.408447623E-1,-4.380514845E-3
2.541806086E2,4.968533665E-2,1.719988883E-1,-5.602245219E-3
2.542006253E2,4.357668385E-2,2.104834020E-1,-5.602245219E-3
2.542206379E2,4.174408689E-2,2.440809757E-1,-8.045705967E-3
2.542406457E2,3.197024390E-2,2.880632877E-1,-1.232176274E-2
2.542606555E2,2.463985980E-2,3.265478015E-1,-1.598695479E-2
2.542806689E2,1.608774811E-2,3.638105690E-1,-1.965214498E-2
2.543006876E2,6.924768444E-3,3.925212324E-1,-2.270647325E-2
2.543207020E2,2.037846483E-3,4.139015079E-1,-2.576079778E-2
2.543407152E2,-7.125132252E-3,4.389469922E-1,-2.209560573E-2
2.543607233E2,-1.262291893E-2,4.615490139E-1,-2.148474194E-2
2.543807392E2,-1.873157173E-2,4.865944684E-1,-1.781954989E-2
2.544007527E2,-2.300762944E-2,5.061421990E-1,-1.720868424E-2
2.544207670E2,-2.789455093E-2,5.201920867E-1,-2.026301250E-2
2.544407773E2,-2.728368528E-2,5.269116163E-1,-2.026301250E-2
2.544607908E2,-3.583579883E-2,5.336310863E-1,-1.537608914E-2
2.544808050E2,-3.827925771E-2,5.379071832E-1,-1.293262746E-2
